Day_Of_Week,Click_Hour,Click_Minute,Current_Cumulative_Sum,Target_Final_Daily_Sum
1,3,4,15998,124307
3,15,25,81615,123498
4,3,15,18692,129007
2,4,35,23203,114208
2,23,27,115421,115421
3,4,53,25844,127921
1,7,28,39097,122522
2,9,46,43303,110937
1,16,11,90409,133065
5,8,36,28644,84631
3,21,29,104247,127842
6,18,22,62075,80910
1,13,15,81499,138857
5,7,13,25854,82179
1,8,9,44479,131522
1,21,6,113934,119183
2,10,44,50546,116333
0,22,51,104890,121853
4,0,59,4610,126319
1,13,36,59161,110955
1,4,28,21664,111842
1,20,2,102237,126496
0,13,14,58060,102926
5,3,35,12319,76233
6,21,46,68077,79432
6,22,45,75010,77282
3,0,51,4781,131478
2,21,18,96940,114140
0,22,12,123543,125090
5,18,41,59575,77646
1,7,20,39346,131289
5,14,36,59185,88000
0,20,26,122212,139888
0,14,54,74118,114106
0,8,51,48169,122342
3,20,28,101028,122452
4,8,19,40051,108780
2,9,24,44728,117141
3,19,5,94067,121615
3,20,35,97861,115678
4,8,1,46736,144409
3,2,21,11378,111613
0,19,31,108606,131794
0,10,15,53559,128564
5,5,17,19282,84732
1,1,4,4880,111347
3,6,53,31684,112317
1,17,35,84326,114820
2,1,29,6459,102142
6,16,44,57247,80538
0,10,18,44317,105175
5,11,22,41082,83218
2,18,33,96445,126184
5,21,12,77778,91032
6,23,42,73565,80398
6,6,53,18300,60816
4,19,28,109248,134606
0,5,35,26775,113892
2,20,21,108022,121066
4,23,51,123650,127470
6,0,51,2564,77766
2,16,46,105834,150965
5,10,35,32329,72202
4,21,8,105511,121419
4,17,38,104578,132568
0,20,50,98172,129149
1,16,18,86337,120380
5,6,37,21800,76064
5,16,5,51482,75108
4,19,51,78860,114435
4,8,46,48657,125172
0,16,14,79849,124438
1,19,56,107021,132211
5,21,19,69477,78896
6,21,8,65892,73336
3,7,31,42200,130567
3,16,3,93865,134360
1,6,49,38129,128982
2,0,17,1415,118363
0,12,4,66948,130443
1,22,19,135643,154289
3,18,22,89233,121151
4,23,10,106882,106882
3,18,36,92159,114137
4,16,21,89123,126254
0,12,57,54648,103951
4,15,3,79786,121694
1,7,28,36280,123803
4,18,43,111241,135351
2,17,33,96061,133101
1,0,12,1162,128645
0,13,41,51819,98373
1,18,8,106233,129210
2,14,41,76328,127055
0,17,30,87670,122559
3,1,6,4752,102697
2,21,3,95006,112232
0,16,18,73309,108331
6,17,41,61520,86692
4,5,29,26449,119970
1,18,30,88452,112021
0,3,34,20755,146253
1,0,56,4424,118312
4,7,20,37831,132937
0,22,30,95325,104309
3,6,18,32083,114699
6,2,30,7454,74719
6,9,52,27962,70598
2,9,31,46354,115777
0,18,1,86807,117820
4,13,58,76100,117660
0,1,51,10593,138551
1,0,9,786,123782
5,22,1,75299,78384
0,22,1,120351,125396
6,17,59,58677,77406
6,6,23,23373,88591
6,7,16,26358,79054
3,0,31,2606,121668
0,22,15,119280,131568
2,2,15,11908,131262
0,23,45,106323,117596
5,22,38,73302,74661
6,7,52,22057,76246
1,21,30,107772,120338
6,14,42,44022,72616
0,4,23,24002,118183
3,2,0,10099,133413
4,18,10,87408,120924
0,0,54,4519,121352
0,14,20,62401,105527
2,7,3,33397,116907
3,1,6,5367,117586
5,2,25,7140,75678
4,23,46,120216,120216
6,13,49,39903,78416
1,23,11,116539,120799
0,13,30,66136,121215
5,10,16,29346,65284
4,15,32,81676,116012
1,3,10,15671,120773
5,19,27,69998,80758
3,4,31,22701,122567
3,21,0,94415,113380
4,20,46,116651,123990
6,13,27,45746,79558
1,22,52,123094,129167
3,15,41,84811,125475
4,17,6,91912,127255
3,6,1,33576,134399
3,9,41,49257,130756
5,6,23,23579,89870
5,0,3,175,81886
3,22,43,102710,109183
2,20,18,92799,104977
5,18,25,68251,87269
1,15,10,72918,120686
4,18,39,83151,114560
4,3,49,20236,128258
6,17,42,60439,84157
1,1,10,5667,114652
1,0,44,3392,115150
1,14,2,58734,103636
6,4,11,14090,76794
1,19,2,85012,106407
0,10,41,49012,114116
6,9,26,36779,93491
4,1,48,10138,126460
0,2,53,13277,108918
6,22,1,79644,84319
3,22,48,112361,122897
3,11,15,70634,143330
4,19,1,109675,124039
3,4,59,23648,118587
1,4,53,21334,111434
6,5,29,16121,69948
0,8,19,40416,111742
1,1,37,8965,133710
3,20,27,97010,120179
5,11,24,37949,80328
0,2,31,14594,135142
1,19,9,75365,96415
6,21,59,74354,78782
4,11,41,62103,120553
1,23,39,124008,124350
5,16,32,54293,78924
3,9,12,44892,112448
0,23,55,119127,124888
4,13,40,78002,143845
0,22,53,122330,130033
4,16,41,89945,132655
6,17,46,53396,75148
0,18,36,96434,113997
3,16,53,87495,112191
6,13,15,42921,79143
6,8,44,29404,80436
4,7,21,34205,112750
2,1,56,9725,114396
0,12,19,64644,118246
0,6,49,31395,121317
1,8,42,45880,123624
4,21,26,100039,119850
5,21,40,80123,81580
2,10,15,43808,100366
3,13,33,61846,114246
1,3,31,15963,110275
2,12,25,63562,124660
4,1,24,7728,129092
2,22,1,124876,129385
6,4,11,14945,90967
0,10,39,57498,118664
6,5,8,18419,79716
0,17,11,77041,112528
1,20,25,89584,104925
4,9,8,53670,129918
4,3,9,16477,118252
2,8,31,37518,107536
1,5,56,28748,111735
4,1,33,8267,111330
5,16,47,59323,84387
5,4,19,14239,81758
6,5,38,19612,82843
0,11,59,49269,97474
2,22,1,105506,118108
3,20,0,100877,118438
0,9,50,45219,117750
1,21,59,100702,113725
4,20,35,108754,122174
0,5,23,24690,120661
3,7,53,41111,119751
3,1,26,6667,124126
5,11,1,30682,73177
1,12,30,58469,115134
0,20,56,118378,133801
2,6,13,34687,125593
0,9,1,48328,128269
5,12,28,41829,81531
6,16,14,56001,80463
3,20,11,103989,129283
1,13,36,59462,104206
1,1,27,6931,122041
2,21,19,105393,118172
1,10,38,60206,136776
5,0,23,1181,77053
5,18,20,56788,73732
5,20,9,69374,81979
1,3,45,20129,121676
1,18,13,86942,124543
5,20,36,66926,78270
1,10,17,50946,123600
1,7,23,37789,117718
3,10,13,54256,122824
0,3,33,17102,112756
4,16,57,77780,114149
1,6,11,35443,131738
4,7,21,30964,109484
6,2,55,9525,85824
4,21,5,98267,119484
3,1,35,7395,112281
1,22,44,108837,111149
5,14,35,35261,68175
4,23,21,104949,104949
1,21,13,97809,109920
2,21,15,114682,140540
6,4,35,15315,79795
5,23,55,79267,79267
2,0,24,2131,124182
2,3,31,19426,125673
4,14,32,73313,129944
2,19,44,95600,118728
3,18,35,95832,129764
3,2,19,10441,99615
4,19,17,90740,109436
1,10,37,61467,121638
0,16,2,80442,123296
1,12,22,55064,110882
1,10,31,53336,122594
1,1,44,8782,113761
1,8,58,42996,117230
5,1,15,4353,83067
0,20,58,113319,129089
5,8,4,28340,84152
2,8,3,35506,109427
6,7,20,21576,71102
1,16,39,82316,119732
6,0,50,2643,76168
3,10,13,58132,130406
4,7,38,42728,123473
4,9,30,47043,124060
5,6,13,19950,78559
5,2,5,6720,80752
3,2,11,8429,91798
1,17,15,89761,128340
6,4,16,14371,79879
6,11,44,42586,82553
0,11,22,54923,132729
2,18,13,92832,119369
4,5,6,25042,120624
2,1,45,9204,123395
0,11,31,69607,151865
5,18,14,60986,75744
6,4,43,17123,83326
4,11,16,53527,110871
2,16,40,87675,121435
5,16,53,55305,81661
0,9,46,50562,128221
2,22,43,119236,121404
6,16,33,50112,75571
1,14,4,75926,120811
5,11,44,35829,74493
0,15,26,80099,121512
2,23,51,111409,111409
6,18,22,59146,80116
1,7,39,40781,127504
1,20,58,109871,119469
0,16,13,82173,116091
3,22,14,111196,122032
6,4,42,15699,82291
6,21,32,66042,74476
4,15,52,86924,122606
0,5,30,30093,133175
1,7,34,39796,125736
1,17,16,84897,120577
0,11,27,62429,126397
3,14,18,74773,124524
4,8,45,44164,127536
2,12,53,50957,99760
0,14,22,56285,104465
4,9,31,49424,130048
6,15,39,55858,82390
4,6,12,34157,124015
5,16,58,59051,80762
1,22,19,105157,110038
2,20,34,105160,123496
0,21,4,111247,122010
1,6,8,36575,141103
5,13,28,48839,79837
5,14,5,52297,89563
1,20,24,112046,123524
3,6,30,32051,113389
4,8,21,46168,127992
0,18,1,84843,125657
0,15,44,82567,120358
0,7,4,35887,122662
1,17,59,83546,114030
6,22,26,74714,86333
3,17,24,92480,127594
2,19,7,93956,117760
5,6,54,20755,77223
1,2,0,9479,122798
6,17,19,61866,83706
2,9,43,44661,105706
5,6,22,23043,86045
5,16,31,51746,71100
3,13,10,64442,117973
4,23,38,122076,124308
0,2,46,13459,122365
2,11,53,58283,127670
1,12,23,70691,125379
2,1,10,6531,127178
4,2,28,12766,133509
0,4,53,26418,128836
2,10,25,51129,118395
4,7,15,32407,108770
1,22,34,125887,136677
3,22,19,111457,117622
6,11,45,42258,82923
5,6,2,20820,81189
1,14,0,71540,123384
0,23,57,120282,121488
5,16,52,59708,81158
6,3,46,12101,75363
1,21,0,101006,115018
1,12,16,74949,146903
1,17,1,82445,114306
1,0,28,2196,115648
5,15,19,53823,81009
0,12,5,63254,132778
6,9,7,27873,74920
4,11,28,55515,112750
2,1,47,8907,127069
3,22,50,93087,106196
6,2,32,8583,81059
2,9,2,47471,137813
2,1,59,9710,125666
3,22,34,123326,126378
6,12,4,36220,72786
5,12,26,45431,82400
0,17,43,91640,132098
3,2,11,11263,124396
0,6,19,34640,129038
5,13,44,44818,83192
2,19,19,108136,127762
0,16,8,75794,109944
5,20,38,65797,83230
5,11,3,36026,78396
4,15,50,83393,124014
3,23,53,109675,113561
4,11,18,57163,131111
2,14,37,76510,123901
3,9,26,57288,131240
2,6,44,30033,109164
4,19,42,115420,130383
6,4,12,13107,77824
5,0,12,660,78441
2,16,59,94000,127903
3,2,56,14867,121695
3,12,21,58171,114753
2,13,27,74112,127611
3,23,51,104939,104939
5,17,46,60793,80906
6,3,52,12279,78237
5,17,44,66411,90741
3,4,21,25800,126420
2,15,42,82357,125053
4,0,18,1461,120509
3,20,7,96171,121704
3,13,51,53038,101141
3,14,7,69635,116274
3,8,41,42291,113186
2,14,25,66773,113409
4,16,47,88043,125995
4,23,50,104147,111394
0,3,25,16330,113953
3,11,22,48079,99129
3,4,42,22310,117058
0,4,12,20710,109121
4,10,27,50393,120792
1,5,8,23967,110488
5,6,19,21749,79275
1,23,55,117684,118553
4,13,18,75051,136720
6,23,47,69073,75065
3,10,38,48071,101603
1,12,50,56915,107351
2,1,11,6103,120552
2,6,14,29718,110701
0,19,30,71076,90316
4,3,54,21478,133495
4,7,13,40801,127202
1,19,10,94408,125209
3,21,25,112480,113926
4,20,41,103113,124276
1,18,26,81640,112956
1,12,10,62281,122048
5,13,37,54983,87274
5,9,33,25847,71817
4,10,42,46171,104297
1,1,18,7338,132322
0,8,5,40615,120389
0,16,45,81867,115105
5,2,51,8909,77818
4,23,37,121542,127333
3,5,48,32063,133667
6,4,41,15047,81727
0,4,27,20552,111093
0,21,0,103436,120556
5,14,34,55077,92929
5,22,39,78718,82095
4,16,7,78794,129087
5,8,58,31647,85688
2,2,51,16827,126994
6,19,53,69542,88761
1,16,46,85826,115433
0,9,55,44104,106449
2,2,6,10242,120690
3,17,10,74703,111824
2,17,38,80976,109449
4,16,3,80914,112797
3,23,24,138483,144853
3,2,11,10995,121361
5,2,25,7670,72513
2,5,37,25652,107776
4,12,45,49713,101562
0,23,11,108538,111809
6,14,42,50102,76049
5,8,50,30662,83464
2,3,52,17515,125985
0,13,36,73586,127385
2,4,45,22355,114086
5,1,52,5727,81056
0,10,23,45049,113671
5,8,15,30572,84804
2,23,56,119533,124423
3,2,12,8935,102109
6,8,24,25630,73361
1,2,53,11876,102150
6,1,53,6906,87577
3,11,56,58940,119752
5,9,51,28717,74438
6,8,53,26748,74161
5,14,3,51683,86373
5,7,10,22239,74321
0,4,31,25635,136779
4,10,48,59760,121072
5,1,6,4184,88085
6,23,45,76147,76147
6,14,57,52951,85716
6,5,10,17612,80924
3,7,27,40349,132849
1,4,53,24364,115261
5,15,40,44783,68985
5,17,22,57725,78897
5,5,44,19561,81234
0,4,22,22922,126098
5,15,49,56353,74556
3,12,27,68967,137533
2,4,42,25247,133429
4,12,46,64778,117692
6,16,56,57435,83901
5,17,25,53011,74128
0,7,24,40981,140548
3,12,53,72319,131490
5,18,28,63377,80341
0,2,18,11507,122003
2,23,32,134448,134448
1,7,35,36055,125795
5,1,13,4106,83982
3,7,13,29236,98063
0,12,34,61423,124612
0,12,29,54512,114845
5,0,27,1386,75089
0,5,16,30758,135463
1,23,2,120328,120328
0,18,15,100110,135356
6,15,45,58237,85604
4,7,29,38846,120744
6,0,51,2993,79662
4,15,28,75780,119686
0,8,44,39029,117854
5,12,14,43228,84510
4,10,45,49521,116462
3,12,55,62689,120853
4,20,24,112263,134094
6,9,50,28990,71976
0,3,37,15638,103049
5,5,41,19736,80512
2,6,58,32208,113037
5,4,46,17045,84156
5,10,52,38223,84357
5,12,53,45872,81635
3,18,51,100421,129075
1,22,57,124681,130902
6,9,37,35460,90186
0,9,22,49565,128039
1,10,24,58158,139684
2,20,41,93179,113113
1,6,6,36434,137997
0,17,21,78295,114506
6,3,16,10691,79827
6,1,17,4749,84528
0,13,48,71827,127159
2,12,40,70969,129117
0,11,9,49766,110382
2,6,9,30188,124345
2,1,56,8387,113144
0,12,6,56471,105110
4,13,47,59968,110712
6,16,49,60469,83190
2,8,37,42708,125215
0,16,26,95988,131522
4,7,51,38230,105267
6,1,32,4799,82045
2,23,0,98097,108233
6,12,43,41621,75629
4,2,52,13938,113772
6,15,59,53781,77736
3,5,33,28750,127996
5,18,3,64788,78358
3,6,16,30688,116840
4,9,3,34634,97800
2,8,42,46337,129465
0,1,53,9455,128209
1,14,25,77852,120054
0,4,3,17088,104724
6,21,0,70336,78452
1,3,6,14294,113337
1,19,29,90852,115466
6,3,49,11737,81600
6,17,8,58310,79308
2,3,34,20166,127422
4,16,7,80494,125620
0,11,23,54226,123901
4,21,18,113380,122820
3,16,35,78478,123763
2,9,49,53256,122719
2,21,51,103858,119480
3,0,58,5141,135112
0,21,42,97831,106873
5,23,26,66792,72153
3,17,31,90276,128223
0,17,13,92705,126983
1,13,56,66902,131169
6,14,17,56280,87390
2,11,27,48438,101310
0,3,59,18516,119277
4,2,28,10739,110088
6,19,15,67900,80655
4,11,34,53403,107575
6,6,46,27211,90256
2,10,58,50328,114033
3,0,58,3933,96224
5,5,30,18405,78637
3,14,3,86142,142203
0,14,36,81010,126062
3,18,16,86568,117970
2,10,38,52621,119452
0,22,47,106566,115790
1,1,45,8792,120900
3,13,25,69211,119629
3,1,47,7605,111589
5,3,38,12385,77513
0,16,40,68847,105128
4,2,3,10696,127183
3,12,29,65739,118988
2,8,29,49941,139008
3,6,21,33206,123408
5,14,10,41136,74062
1,22,1,102182,117522
5,10,43,37253,79678
3,19,11,84225,108572
4,1,29,6770,112331
6,14,35,51551,80937
3,13,17,58089,110770
0,19,25,99160,120939
3,21,52,112308,123001
4,10,6,42164,100206
0,2,0,9629,118627
2,16,57,86156,125634
0,11,25,53272,118370
5,23,22,72902,73113
1,20,25,95283,115878
5,14,44,55165,85711
6,15,5,53308,85786
0,4,5,19616,121738
2,19,43,116143,143076
3,5,7,23504,112563
0,18,23,93994,116818
5,4,21,13196,74176
0,2,18,10691,113126
0,0,36,3505,130982
0,5,17,21736,96291
2,14,30,75052,114689
4,1,36,9083,128183
4,2,29,11575,117059
0,16,56,82779,111791
2,23,41,124407,124407
2,11,32,66775,129063
6,17,9,58956,78620
0,14,36,71421,111987
5,11,11,32547,70921
5,15,53,49097,77429
1,7,29,39040,127451
0,13,26,69186,134832
1,16,38,69479,93944
5,20,8,62786,75920
5,7,53,25957,74231
0,14,20,80938,144417
1,13,11,66774,115318
1,17,54,92714,127463
0,19,28,90814,119646
6,6,32,22273,75665
1,2,42,13152,110779
6,11,52,41191,82436
3,20,14,109411,129559
5,23,1,79115,80721
4,2,51,14455,120554
6,19,38,63185,80424
6,13,52,47209,83428
6,14,43,54918,81564
2,13,53,71858,109581
1,6,17,34108,120840
1,16,2,76684,112107
2,11,6,56572,124419
1,19,42,95908,121700
2,3,17,16194,122876
6,8,43,30622,86713
0,5,37,31006,119622
3,15,36,90407,127567
6,21,57,80088,84418
3,21,32,113655,133066
5,20,43,67263,74592
6,20,58,70504,81679
4,1,30,6820,122296
1,23,57,106817,106817
4,7,10,35752,124989
0,10,3,49322,122744
3,12,58,64146,120233
6,16,17,56046,84717
0,7,3,31647,107922
0,20,48,117682,136348
1,17,33,85495,129017
0,17,28,93418,119293
6,13,23,46182,87100
6,14,21,47241,82960
3,5,1,27798,135208
6,10,43,37126,83597
4,12,5,65602,121440
3,0,41,3467,120181
1,5,24,31887,137820
3,8,54,43724,116311
2,7,56,40027,119704
4,10,20,58865,134634
2,21,54,100130,121470
2,18,58,102521,131370
5,23,15,89345,89345
6,8,30,32319,76228
1,16,13,85627,134844
0,11,38,56049,113236
2,13,27,64506,118487
3,14,31,81726,122566
0,15,27,66084,110108
3,21,50,108695,115861
3,21,54,102751,121126
0,19,48,97802,120466
0,0,8,736,132803
6,9,57,35236,80677
3,7,44,33974,111439
1,17,21,90458,121112
6,0,31,1774,82356
4,1,4,6089,135163
5,0,22,1303,81389
4,0,4,319,122909
1,8,41,47685,126665
6,12,52,38111,73169
5,0,31,1936,85289
6,12,58,44170,80409
0,19,9,106267,134591
5,21,58,69726,78496
3,6,38,34904,121294
4,1,57,10155,117574
5,5,14,16686,78620
3,6,6,28821,120205
6,13,28,48091,82832
1,17,58,79768,114875
5,14,46,39808,69217
3,1,2,4533,111193
6,9,18,32217,84905
6,22,9,67233,78065
6,11,27,38210,88689
1,16,28,68959,106556
0,7,14,39986,128546
1,10,34,46740,113368
1,2,5,9742,114177
4,5,11,27344,115380
6,8,46,28599,78488
3,5,37,30847,129592
5,8,12,24517,75320
4,6,28,35588,119189
6,8,18,25028,74384
2,17,2,88180,125679
1,11,7,65050,131762
2,7,7,31486,107156
6,7,54,24651,74712
4,17,57,80610,109319
3,19,19,94851,119490
4,14,46,73783,117738
3,6,3,30965,119532
3,10,50,48930,112002
6,19,20,60334,77880
0,15,2,60157,99055
6,3,44,12103,83670
1,5,7,22703,115689
4,21,22,102313,113240
3,2,15,13076,133225
6,8,12,26955,75601
6,9,2,25164,75898
4,13,47,77283,136238
4,10,8,40091,100490
3,17,59,91260,120923
5,21,13,71121,82167
2,11,12,43666,90881
1,22,52,100472,105553
1,11,56,57498,127749
5,12,6,40364,84129
0,12,14,65786,129026
5,18,6,62092,81963
0,18,37,86387,119786
0,22,33,118683,136826
5,13,40,42490,74407
1,3,21,14812,114131
2,12,23,47292,100000
1,7,48,31464,99018
6,22,36,68880,74978
1,20,43,98645,119529
1,22,0,107750,121832
5,18,9,61210,80883
5,11,42,37648,80111
6,17,15,54144,75066
6,5,45,19538,83134
5,17,7,57358,79756
1,18,55,90201,109626
2,21,48,106148,112154
0,4,24,25774,132083
4,23,49,122447,122447
0,8,11,43516,126121
6,2,24,8727,89209
6,9,16,30014,79273
0,18,59,86794,114768
4,2,25,11213,111334
1,21,45,115815,123490
2,14,47,90739,152857
2,0,13,1143,126951
0,6,40,39546,147359
4,11,35,61296,125687
6,16,56,55709,81188
3,20,22,100911,123479
1,23,42,131457,137806
0,19,5,112731,138295
2,4,46,22580,114246
6,3,4,10660,85253
5,11,42,36638,74185
5,19,24,61911,78212
4,23,17,135533,135533
4,17,12,82083,120397
0,16,42,78118,113326
3,18,13,87227,123601
2,8,27,42961,124174
0,3,17,15139,120811
3,20,58,110364,121787
6,1,59,6201,72274
4,3,56,22134,129959
5,1,27,4930,81482
1,14,50,65095,110168
6,1,55,6705,87464
5,3,26,12018,78044
2,5,31,31378,127368
2,6,46,34460,121480
5,9,8,32122,86643
6,18,39,69814,84087
5,18,31,56177,75432
3,21,19,115712,128804
0,11,27,62816,123330
4,2,32,11818,116847
3,12,3,63958,122315
1,17,45,101039,133150
5,7,56,28650,86845
1,20,33,100922,124026
1,14,47,70820,119295
3,0,2,175,124269
4,2,25,10611,113454
6,7,7,22864,76608
2,3,5,17295,131078
0,15,15,73758,110629
2,22,23,92560,106705
4,9,47,46525,107085
2,11,38,56941,108293
5,13,29,45422,79226
5,13,44,38483,70933
3,1,12,5755,117021
1,22,4,115742,126182
4,4,24,23071,124166
4,4,19,20912,116144
2,5,53,30304,121909
3,12,17,61683,121071
2,8,46,43584,117757
2,21,17,102139,117891
4,14,1,81733,142354
2,13,9,68162,128093
1,23,54,144806,144806
2,6,44,34634,115030
1,19,49,101113,119150
4,1,46,8373,106678
3,6,11,29981,111904
5,5,46,20788,85740
1,16,12,71643,114779
3,1,49,10398,139192
3,2,46,12192,107566
1,4,56,21226,109465
4,4,54,22034,116587
0,0,10,849,119362
3,7,18,39945,129230
3,11,34,56503,124507
4,23,38,109813,115836
4,3,52,20228,118666
2,12,25,57780,116809
4,22,45,105977,110853
3,14,13,65198,111120
1,10,53,60573,130278
0,9,44,39486,101718
6,2,43,9491,83473
2,21,23,104736,116570
6,13,40,49166,85358
1,15,0,79938,127397
0,9,50,56203,134852
0,9,42,58827,131176
0,11,54,69926,125018
5,8,21,27767,82445
1,0,22,1388,102835
2,4,55,24214,114781
2,19,53,92723,110888
0,7,18,42358,132246
1,10,17,50482,116165
5,11,11,39195,83870
0,0,54,4966,125358
4,21,27,105858,111376
6,19,27,61453,81478
2,10,59,58353,132938
6,4,58,14589,70871
3,14,32,73784,121248
0,4,18,19870,112174
4,11,27,56962,116860
2,4,58,25969,119538
6,16,51,60267,79033
5,16,48,60850,84483
1,23,36,115666,122862
2,11,25,52673,111552
6,23,34,77912,79645
1,14,33,68782,110609
6,14,34,44101,71277
1,5,39,33595,129437
5,11,15,36214,79082
5,19,37,66167,79425
0,17,12,113350,141503
0,13,22,59445,109952
2,1,59,10890,130835
5,8,53,28278,80187
4,4,21,20254,111290
6,19,15,58626,76059
6,0,27,1623,82281
6,22,47,74748,78164
2,2,34,12916,126698
6,5,59,21527,82867
3,4,44,21909,110103
1,20,45,100390,110833
6,4,7,13680,84614
1,0,43,3585,117898
0,16,54,80817,110498
6,18,54,67409,87450
4,13,21,74341,142625
5,11,20,41334,87714
5,9,25,32617,78321
0,19,39,108621,125596
3,20,20,94855,114411
2,17,24,85957,126689
2,23,40,108849,112814
4,10,0,56283,138321
0,1,5,5696,123447
0,17,22,81914,113799
3,6,50,31266,114113
6,23,22,77979,77979
2,14,42,82483,133727
6,10,42,40980,89960
0,17,22,74927,113320
6,22,31,63577,77112
5,11,29,37074,83486
4,5,12,24802,117288
2,19,42,88745,105087
3,22,17,95090,116001
4,12,22,66204,119004
1,19,14,91910,113719
5,15,32,50934,73685
3,17,20,89173,129194
4,9,56,50585,119216
0,22,38,115832,122305
1,7,22,31434,98389
3,17,26,83124,115788
0,20,44,115005,130048
5,0,43,2737,86890
1,22,17,101166,112627
2,7,23,44455,142776
0,5,50,30417,138190
4,4,46,25631,124675
6,14,39,58740,87661
3,21,50,83384,97740
1,14,41,68284,112124
0,1,6,5517,115300
2,0,49,4009,117640
6,22,47,75023,78382
3,22,19,86153,94499
3,10,26,52692,123860
0,9,5,47268,125436
2,17,26,99008,136018
5,17,8,53458,79584
6,16,52,60860,86886
5,7,44,23990,69040
1,14,56,71313,117064
0,7,30,37821,129011
6,16,20,54079,80070
1,11,25,64875,141434
5,7,39,23889,80322
6,13,47,47915,82854
3,3,44,15958,106368
1,0,12,991,122872
2,0,48,3365,100206
4,18,22,89695,126936
5,15,19,52475,90067
5,13,36,47568,81220
2,20,53,86317,109800
6,15,52,45517,72384
6,4,27,13050,77342
6,8,16,26561,79034
1,1,27,6871,111347
0,17,40,71122,96080
3,5,1,28895,123469
4,8,24,43719,118475
0,0,57,4314,114333
0,8,49,44083,127639
2,15,40,88601,119550
1,12,5,56631,106808
5,8,10,25038,71476
5,20,56,68953,78760
2,12,37,76698,143930
1,8,5,39675,127227
2,10,44,54938,121886
5,3,10,11029,83293
0,1,13,5688,117526
3,5,1,26782,131671
6,13,39,50707,82877
1,3,2,15796,125769
4,5,54,31609,116515
4,18,52,100047,139401
0,5,34,28783,127422
2,1,32,7807,132455
2,17,23,77683,114155
5,12,18,37972,77292
0,8,17,40973,116874
5,22,48,80243,83355
5,18,51,64750,85339
4,12,23,50238,109572
5,10,44,38267,79680
6,0,34,1715,73729
5,23,0,67868,75005
4,21,35,105290,115492
6,6,24,22012,81711
2,20,44,90987,107050
1,14,48,83612,134588
3,0,59,5101,132150
5,11,42,37569,74243
6,6,33,22177,85524
1,14,24,64764,111311
4,20,15,117531,134919
1,18,33,82952,101229
3,0,28,2181,103935
1,16,18,82310,115116
6,16,22,53352,79524
1,2,18,12022,135922
1,11,24,60062,118147
1,5,15,26627,113917
0,10,53,53952,123113
5,2,50,9838,79669
4,7,8,36363,124412
3,13,0,68842,118220
4,13,41,55795,100449
0,9,18,47192,110823
0,1,32,8911,134202
6,13,33,43662,70958
0,8,15,39210,116774
5,2,43,9439,81732
0,20,39,88993,108698
1,7,54,40393,117746
4,15,17,80768,121377
2,1,33,8359,115586
3,5,24,27882,121007
0,20,44,105739,118123
4,11,5,47801,106006
6,4,20,14394,77619
0,1,57,8506,106716
5,15,5,49675,78586
0,4,31,25389,133741
0,14,40,70354,117189
0,11,47,53332,108285
6,3,42,10707,70785
0,14,38,66801,111680
3,10,30,58067,125945
4,15,41,78128,118520
5,22,9,70775,75378
0,5,29,27882,131629
0,13,56,70234,118469
0,17,51,97080,127156
0,11,17,53481,116067
1,10,59,60813,120339
1,12,23,53178,116385
2,20,51,115258,127664
0,22,8,128297,134329
2,10,30,57510,127986
3,22,14,120762,129219
2,15,3,83269,129230
4,14,39,79940,125512
1,20,8,87802,108607
1,14,44,85366,137009
0,3,8,17857,138044
0,10,25,48275,117661
3,18,3,90598,116293
5,14,16,46270,80097
3,3,15,15723,125508
4,20,14,96783,117980
0,12,34,54039,107499
0,21,56,118243,123057
3,18,51,99336,125514
3,1,4,6046,127258
3,13,54,69139,123492
1,3,4,15641,117288
2,15,19,94701,129940
2,20,14,103532,120658
0,19,17,96674,115350
1,13,46,70148,118193
3,14,1,55628,102540
0,2,28,12501,118177
1,7,12,38648,126884
4,15,3,76375,123397
5,9,41,31590,81917
1,3,44,18891,117370
6,17,9,58907,86648
0,1,30,8848,127927
2,16,40,100171,143428
6,12,7,41893,88386
3,3,2,13491,109558
5,10,47,32531,73425
4,6,45,43701,138657
5,11,8,34415,77623
5,9,29,29785,75820
1,6,52,36831,132287
0,12,10,67636,130170
0,6,34,32311,121255
5,23,36,65258,70372
3,16,41,82042,119187
0,9,12,47043,124586
5,9,35,29513,76167
0,23,55,119599,123339
3,3,12,16411,116200
4,19,11,98751,125553
6,3,36,9956,70370
5,21,9,76564,88936
2,6,59,32571,111638
2,21,55,100715,118185
5,0,8,518,86392
1,11,51,54695,106169
4,23,6,99068,99068
1,12,1,68960,135080
6,9,53,26054,70666
2,14,55,84369,126067
3,12,59,56539,109231
5,22,22,69567,77686
6,21,38,71280,78464
0,21,39,100432,104156
2,20,38,121489,134242
4,21,20,112974,121586
2,8,22,39821,116039
4,8,28,40328,116220
4,14,13,60169,99847
5,9,25,32019,82141
4,23,50,122618,122618
1,9,4,46451,118059
6,7,54,28622,84458
3,23,30,90821,106161
2,15,24,73638,114032
3,16,30,76238,111499
6,4,49,16602,82035
0,3,19,16047,120674
6,17,43,51714,75025
2,23,54,116530,116530
3,18,16,83147,111226
3,3,44,21901,136860
5,6,1,18094,74684
5,9,24,34434,82106
6,17,12,63389,84234
6,18,57,66245,82671
0,3,38,15806,105532
4,9,27,47889,116652
2,0,41,3281,113038
5,22,54,81251,84150
2,17,5,87773,117199
